WARNING 2020-09-21 12:39:25,576 base 152 Not Found: /index
WARNING 2020-09-21 12:39:25,593 basehttp 124 "GET /index HTTP/1.1" 404 2680
WARNING 2020-09-21 12:39:28,385 base 152 Not Found: /index/
WARNING 2020-09-21 12:39:28,394 basehttp 124 "GET /index/ HTTP/1.1" 404 2683
WARNING 2020-09-21 12:39:35,994 base 152 Not Found: /content
WARNING 2020-09-21 12:39:35,996 basehttp 124 "GET /content HTTP/1.1" 404 2686
WARNING 2020-09-21 12:39:38,685 base 152 Not Found: /contents
WARNING 2020-09-21 12:39:38,692 basehttp 124 "GET /contents HTTP/1.1" 404 2689
WARNING 2020-09-21 12:40:20,590 base 152 Not Found: /index/
WARNING 2020-09-21 12:40:20,617 basehttp 124 "GET /index/ HTTP/1.1" 404 2683
WARNING 2020-09-21 12:40:25,542 base 152 Not Found: /index
WARNING 2020-09-21 12:40:25,548 basehttp 124 "GET /index HTTP/1.1" 404 2680
INFO 2020-09-21 12:40:55,063 basehttp 124 "GET / HTTP/1.1" 200 39137
WARNING 2020-09-21 12:40:58,285 base 152 Not Found: /cart.html
WARNING 2020-09-21 12:40:58,292 basehttp 124 "GET /cart.html HTTP/1.1" 404 2692
INFO 2020-09-21 13:09:15,979 basehttp 124 "GET / HTTP/1.1" 200 39137
INFO 2020-09-21 13:09:18,039 basehttp 124 "GET / HTTP/1.1" 200 39137
INFO 2020-09-21 13:09:19,903 basehttp 124 "GET / HTTP/1.1" 200 39137
INFO 2020-09-21 13:09:20,189 basehttp 124 "GET / HTTP/1.1" 200 39137
WARNING 2020-09-21 13:09:33,938 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2020-09-21 13:09:36,725 basehttp 124 "GET / HTTP/1.1" 200 39137
INFO 2020-09-21 13:09:36,766 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-09-21 13:09:36,814 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-09-21 13:09:36,830 basehttp 124 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97172
INFO 2020-09-21 13:09:37,019 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12945
INFO 2020-09-21 13:09:37,020 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289316
INFO 2020-09-21 13:09:37,043 basehttp 124 "GET /static/images/goods/goods001.jpg HTTP/1.1" 200 5391
INFO 2020-09-21 13:09:37,050 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2020-09-21 13:09:37,115 basehttp 124 "GET /static/js/common.js HTTP/1.1" 200 906
INFO 2020-09-21 13:09:37,121 basehttp 124 "GET /static/js/slide.js HTTP/1.1" 200 1822
INFO 2020-09-21 13:09:37,235 basehttp 124 "GET /static/js/index.js HTTP/1.1" 200 1143
INFO 2020-09-21 13:09:37,240 basehttp 124 "GET /static/images/goods/goods002.jpg HTTP/1.1" 200 5377
INFO 2020-09-21 13:09:37,268 basehttp 124 "GET /static/images/slide01.jpg HTTP/1.1" 200 67813
INFO 2020-09-21 13:09:37,282 basehttp 124 "GET /static/images/slide03.jpg HTTP/1.1" 200 70152
INFO 2020-09-21 13:09:37,282 basehttp 124 "GET /static/images/slide02.jpg HTTP/1.1" 200 89905
INFO 2020-09-21 13:09:37,288 basehttp 124 "GET /static/images/slide04.jpg HTTP/1.1" 200 107973
INFO 2020-09-21 13:09:37,297 basehttp 124 "GET /static/images/adv01.jpg HTTP/1.1" 200 39831
INFO 2020-09-21 13:09:37,300 basehttp 124 "GET /static/images/banner01.jpg HTTP/1.1" 200 23658
INFO 2020-09-21 13:09:37,314 basehttp 124 "GET /static/images/goods/goods003.jpg HTTP/1.1" 200 8579
